3800,dist_a,730,000000,0,000000 
3800,dist_c,307,000000,0,000000 
3800,dist_b,624,000000,0,000000 
3806,dist_a,730,000000,0,000000 
3806,dist_c,307,000000,0,000000 
3806,dist_b,624,000000,0,000000 
3812,dist_a,730,000000,0,000000 
3812,dist_c,307,000000,0,000000 
3812,dist_b,624,000000,0,000000 
3818,dist_a,730,000000,0,000000 
3818,dist_c,307,000000,0,000000 
3818,dist_b,624,000000,0,000000 
3824,dist_a,730,000000,0,000000 
3824,dist_c,307,000000,0,000000 
3824,dist_b,624,000000,0,000000 
3830,dist_a,730,000000,0,000000 
3830,dist_c,307,000000,0,000000 
3830,dist_b,624,000000,0,000000 
3836,dist_a,730,000000,0,000000 
3836,dist_c,307,000000,0,000000 
3836,dist_b,624,000000,0,000000 
3842,dist_a,730,000000,0,000000 
3842,dist_c,307,000000,0,000000 
3842,dist_b,624,000000,0,000000 
3848,dist_a,730,000000,0,000000 
3848,dist_c,307,000000,0,000000 
3848,dist_b,624,000000,0,000000 
3854,dist_a,730,000000,0,000000 
3854,dist_c,307,000000,0,000000 
3854,dist_b,624,000000,0,000000 
3860,dist_a,730,000000,0,000000 
3860,dist_c,307,000000,0,000000 
3860,dist_b,624,000000,0,000000 
3866,dist_a,730,000000,0,000000 
3866,dist_c,307,000000,0,000000 
3866,dist_b,624,000000,0,000000 
3872,dist_a,730,000000,0,000000 
3872,dist_c,307,000000,0,000000 
3872,dist_b,624,000000,0,000000 
3878,dist_a,730,000000,0,000000 
3878,dist_c,307,000000,0,000000 
3878,dist_b,624,000000,0,000000 
3884,dist_a,730,000000,0,000000 
3884,dist_c,307,000000,0,000000 
3884,dist_b,624,000000,0,000000 
